0,1,2,3,4,5,6,7,8,9
-55.0,-52.0,-66.0,-63.0,-61.0,-56.0,-59.0,-64.0,1.0,1.0
-57.0,-51.0,-66.0,-63.0,-60.0,-61.0,-57.0,-60.0,1.0,1.0
-56.0,-50.0,-73.0,-66.0,-61.0,-61.0,-57.0,-60.0,1.0,1.0
-57.0,-51.0,-67.0,-65.0,-59.0,-60.0,-57.0,-64.0,1.0,1.0
-59.0,-51.0,-66.0,-65.0,-61.0,-58.0,-57.0,-59.0,1.0,1.0
-55.0,-52.0,-67.0,-66.0,-60.0,-59.0,-58.0,-64.0,1.0,1.0
-56.0,-51.0,-67.0,-65.0,-59.0,-61.0,-57.0,-62.0,1.0,1.0
-58.0,-53.0,-61.0,-68.0,-62.0,-59.0,-58.0,-61.0,1.0,1.0
-54.0,-52.0,-62.0,-64.0,-58.0,-59.0,-59.0,-60.0,1.0,1.0
-56.0,-51.0,-66.0,-59.0,-59.0,-54.0,-58.0,-61.0,1.0,1.0
-58.0,-50.0,-61.0,-63.0,-59.0,-58.0,-57.0,-61.0,1.0,1.0
-56.0,-53.0,-61.0,-63.0,-59.0,-59.0,-58.0,-62.0,1.0,1.0
-58.0,-51.0,-65.0,-60.0,-58.0,-60.0,-58.0,-61.0,1.0,1.0
-66.0,-53.0,-68.0,-62.0,-59.0,-58.0,-57.0,-61.0,1.0,1.0
-60.0,-53.0,-62.0,-61.0,-56.0,-59.0,-57.0,-60.0,1.0,1.0
-55.0,-54.0,-64.0,-62.0,-59.0,-58.0,-54.0,-58.0,1.0,1.0
-54.0,-55.0,-67.0,-62.0,-59.0,-58.0,-56.0,-59.0,1.0,1.0
-54.0,-52.0,-64.0,-64.0,-61.0,-74.0,-55.0,-59.0,1.0,1.0
-55.0,-52.0,-65.0,-63.0,-59.0,-66.0,-54.0,-61.0,1.0,1.0
-54.0,-68.0,-56.0,-56.0,-74.0,-57.0,-56.0,-53.0,2.0,1.0
-55.0,-67.0,-55.0,-56.0,-65.0,-59.0,-56.0,-49.0,2.0,1.0
-54.0,-71.0,-61.0,-57.0,-70.0,-58.0,-56.0,-53.0,2.0,1.0
